Date Time,Intersection Street One,Intersection Street Two,Address Street Number,Address Street Name,Number of Motorists,Number of Cyclists,Number of Pedestrians,Number of Injured Individuals,Hospitalizations (estimated),Neighborhood (estimated)
03/10/2016 08:52:00 AM,,,47,BAY STATE ROAD,2,0,0,0,0,Neighborhood Nine
03/10/2016 12:26:00 PM,THIRD ST,GORE ST,,,2,0,0,0,0,
03/10/2016 07:31:00 PM,,,558,FRANKLIN STREET,1,0,0,0,0,Riverside
03/11/2016 07:00:00 AM,125 SIXTH ST,,,,1,0,0,0,0,East Cambridge
03/11/2016 01:32:00 PM,,,664,GREEN ST,2,0,0,0,0,Riverside
03/11/2016 01:35:00 PM,55 FIRST ST,,,,1,0,0,0,0,East Cambridge
03/11/2016 04:40:00 PM,SCIARAPPA STREET,WINTER STREET,,,0,0,0,0,0,
03/11/2016 05:01:00 PM,,,,WESTERN AVE,1,1,0,0,0,
03/12/2016 02:00:00 PM,,,,MASS AVE AT CHURCHILL,3,0,0,0,0,
03/12/2016 08:11:00 PM,HAMPSHIRE ST,COLUMBIA ST,,,1,0,0,0,0,
03/13/2016 11:57:00 AM,,,326,CONCORD AVE,2,0,0,0,0,West Cambridge
03/13/2016 07:13:00 PM,,,,OPPOSITE OF 113 ELM STREET,1,0,0,0,0,
03/14/2016 11:54:00 AM,,,,MT AUBURN STREET,2,0,0,0,0,
03/14/2016 01:05:00 PM,,,,HAMPSHIRE ST,1,1,0,0,0,
03/14/2016 02:45:00 PM,THORNDIKE ST,SECOND ST,,,2,0,0,0,0,
03/14/2016 03:00:00 PM,,,,CHARLES STREET,0,0,0,0,0,
03/14/2016 04:47:00 PM,THIRD ST,ATHENAEUM ST,,,1,0,0,0,0,
03/14/2016 05:25:00 PM,,,,RIVER STREET,2,0,0,0,0,
03/14/2016 09:53:00 PM,MAGAZINE STREET,FRANKLIN STREET,,,2,0,0,0,0,
03/15/2016 10:56:00 AM,PUTNAM AVE,WESTERN AVE,,,2,0,0,0,0,
03/15/2016 11:17:00 AM,BROADWAY STREET,WINDSOR STREET,,,1,0,1,0,1,
03/15/2016 12:25:00 PM,CAMBRIDE ST.,FIFTH ST,,,3,0,0,0,2,
03/15/2016 03:17:00 PM,CAMBRIDGE ST,FIFTH ST,,,1,0,0,0,0,
03/15/2016 11:36:00 PM,,,101,WASHINGTON ST,1,0,0,0,0,The Port
03/16/2016 06:29:00 PM,,,610,MAIN STREET,2,0,0,0,0,The Port
03/16/2016 08:23:00 PM,,,251,HAMPSHIRE ST,2,0,0,0,1,Wellington-Harrington
03/16/2016 09:22:00 PM,,,81,WASHINGTON AVENUE,1,0,1,0,1,Neighborhood Nine
03/16/2016 10:00:00 PM,,,19,BIGELOW ST,0,0,0,0,0,Mid-Cambridge
03/17/2016 03:00:00 PM,MASS AVE,GARDEN ST,,,2,0,0,0,0,
03/17/2016 04:17:00 PM,,,,ROYAL AVE,1,0,0,0,0,
03/17/2016 04:42:00 PM,,,87,ABERDEEN AVE,2,0,0,0,0,West Cambridge
03/18/2016 10:15:00 AM,,,,THORNDIKE ST,1,0,0,0,1,
03/18/2016 05:17:00 PM,,,777,CONCORD AVE,1,0,0,0,0,Cambridge Highlands
03/18/2016 08:00:00 PM,,,1972,MASS AVE,1,0,0,0,0,North Cambridge
03/19/2016 05:11:00 PM,,,699,MT.AUBURN STREET,1,0,1,0,1,West Cambridge
03/19/2016 09:11:00 PM,,,2310,MASS AVE,1,0,1,0,1,North Cambridge
03/20/2016 07:03:00 AM,,,20,ELLIOT STREET GARAGE,1,0,0,0,1,
